Entity Count,Runtime,Risk,Object Sensor X,Object Sensor Y,Object Sensor Z,Object Sensor T, Center Sensor X, Center Sensor Y, Center Sensor Z, Center Sensor T,Contact Sensor X,Contact Sensor Y,Contact Sensor Z,Contact Sensor T
1,1.947204049203,0,0,0,0,27,0,0,0,36.0579710144928,0,0,0,27.9365391304348
2,4.89633589385408,0,0,0,0,27,-2.66680793426565E-03,-1.84930716275247E-02,0,45.1018318547159,-5.3336158685313E-03,-3.69861432550493E-02,0,28.8337892791302
3,4.81554136365842,0,0,0,0,27,-2.66680793426565E-03,-1.84930716275247E-02,0,54.1235627581498,-5.3336158685313E-03,-3.69861432550493E-02,0,29.5947513379497
4,2.0511480792635,0,0,0,0,27,-2.66680793426565E-03,-1.84930716275247E-02,0,63.1447629041245,-5.3336158685313E-03,-3.69861432550493E-02,0,30.3861073782776
5,4.83042968822639,0,0,0,0,27,-2.66680793426565E-03,-1.84930716275247E-02,0,72.1848211820643,-5.3336158685313E-03,-3.69861432550493E-02,0,31.3047337721594
6,4.26372334969188,1,0,0,0,27,-2.66680793426565E-03,-1.84930716275247E-02,0,81.2042171800928,-5.3336158685313E-03,-3.69861432550493E-02,0,32.1192247241626
7,4.75512440614891,0,0,0,0,27,-2.66680793426565E-03,-1.84930716275247E-02,0,34.0579710144928,-5.3336158685313E-03,-3.69861432550493E-02,0,33.020654677555
8,1.726880964804,0,0,0,0,27,-2.66680793426565E-03,-1.84930716275247E-02,0,43.0762344007018,-5.3336158685313E-03,-3.69861432550493E-02,0,33.7589755725246
9,4.87351889665366,0,0,0,0,27,-2.66680793426565E-03,-2.34124944819114E-02,0,52.0944977869108,-5.3336158685313E-03,-4.68249889638227E-02,0,34.6552524454495
10,3.40406547543818,0,0,0,0,27,-2.66680793426565E-03,-2.34124944819114E-02,0,61.1127611731198,-5.3336158685313E-03,-4.68249889638227E-02,0,35.4303239104543
11,4.37028541238738,0,0,0,0,27,1.85778884572809E-02,-2.34124944819114E-02,0,70.1389616044621,3.71557769145618E-02,-4.68249889638227E-02,0,36.3350924577386
12,4.35312766879883,0,0,0,0,27,1.85778884572809E-02,-2.34124944819114E-02,0,79.1573139364324,3.71557769145618E-02,-4.68249889638227E-02,0,37.2320129056509
13,4.68509843623861,1,0,0,0,27,1.85778884572809E-02,-2.34124944819114E-02,0,88.1748489716468,3.71557769145618E-02,-4.68249889638227E-02,0,38.1079013242957
14,2.96762905997095,0,0,0,0,27,1.85778884572809E-02,-2.34124944819114E-02,0,34.0579710144928,3.71557769145618E-02,-4.68249889638227E-02,0,39.0040044754522
15,2.12034659882831,0,0,0,0,27,1.85778884572809E-02,-2.34124944819114E-02,0,43.0839877072975,3.71557769145618E-02,-4.68249889638227E-02,0,39.8941578532692
16,4.8511000212468,0,0,0,0,27,1.85778884572809E-02,1.61189591014623E-03,0,52.1156178057484,3.71557769145618E-02,3.22379182029246E-03,0,40.7600668016105
17,2.31425478744303,0,0,0,0,27,1.85778884572809E-02,1.61189591014623E-03,0,61.1268982172531,3.71557769145618E-02,3.22379182029246E-03,0,41.6453845898333
18,2.36755339471126,0,0,0,0,27,1.85778884572809E-02,1.61189591014623E-03,0,70.1381786287578,3.71557769145618E-02,3.22379182029246E-03,0,42.5138476075849
19,3.43163028923113,0,0,0,0,27,1.85778884572809E-02,1.61189591014623E-03,0,79.1494590402625,3.71557769145618E-02,3.22379182029246E-03,0,43.2886617961464
20,4.14478342078154,1,0,0,0,27,2.54395579755213E-02,1.61189591014623E-03,0,88.1689800412438,5.08791159510425E-02,3.22379182029246E-03,0,44.0968793595475
21,3.47314734684485,0,0,0,0,27,2.54395579755213E-02,1.61189591014623E-03,0,34.0579710144928,5.08791159510425E-02,3.22379182029246E-03,0,44.8620218427962
22,4.37482295030216,0,0,0,0,27,2.54395579755213E-02,1.61189591014623E-03,0,43.0713324117646,5.08791159510425E-02,3.22379182029246E-03,0,45.7456252135266
23,2.22261353664245,0,0,0,0,27,2.54395579755213E-02,1.61189591014623E-03,0,52.0846938090364,5.08791159510425E-02,3.22379182029246E-03,0,46.6298553775398
24,4.93445732684377,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,61.0980552063082,7.50960376044866E-02,-7.98558083723543E-03,0,47.5217848907536
25,2.48673272382634,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,70.1038607119065,7.50960376044866E-02,-7.98558083723543E-03,0,48.2877866517599
26,1.49734533856278,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,79.1096662175048,7.50960376044866E-02,-7.98558083723543E-03,0,49.1005443777923
27,2.2399076398324,1,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,88.1391625198836,7.50960376044866E-02,-7.98558083723543E-03,0,49.9884577286032
28,2.04066651070009,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,34.0579710144928,7.50960376044866E-02,-7.98558083723543E-03,0,50.8907058301108
29,4.1170904448889,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,43.0819016224686,7.50960376044866E-02,-7.98558083723543E-03,0,51.602153979409
30,3.08705833279416,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,52.0899661190008,7.50960376044866E-02,-7.98558083723543E-03,0,52.3224937454052
31,3.51988712666938,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,61.1049647756981,7.50960376044866E-02,-7.98558083723543E-03,0,53.0173354914958
32,2.8014728893777,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,70.1158697617824,7.50960376044866E-02,-7.98558083723543E-03,0,53.675768207533
33,4.50184228175437,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,79.1267747478666,7.50960376044866E-02,-7.98558083723543E-03,0,54.5652413095593
34,2.62689477205766,1,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,88.1376797339509,7.50960376044866E-02,-7.98558083723543E-03,0,55.4120480242688
35,2.84776071696123,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,34.0579710144928,7.50960376044866E-02,-7.98558083723543E-03,0,56.1526211102661
36,4.53820827498229,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,43.0715024339785,7.50960376044866E-02,-7.98558083723543E-03,0,57.0447206456938
37,1.98796779813368,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,52.0850338534642,7.50960376044866E-02,-7.98558083723543E-03,0,57.8504726622457
38,2.51215544995863,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,61.09856527295,7.50960376044866E-02,-7.98558083723543E-03,0,58.6687110465926
39,3.05881256756648,0,0,0,0,27,3.75480188022433E-02,-3.99279041861771E-03,0,70.1130957092603,7.50960376044866E-02,-7.98558083723543E-03,0,59.561809598845
40,4.49587712218946,0,0,0,0,27,3.75480188022433E-02,-3.31725570905837E-03,0,79.1230382528398,7.50960376044866E-02,-6.63451141811674E-03,0,60.4056660967442
41,2.30389173620226,1,0,0,0,27,3.75480188022433E-02,-3.31725570905837E-03,0,88.1329807964193,7.50960376044866E-02,-6.63451141811674E-03,0,61.2845657519354
42,2.08268586040506,0,0,0,0,27,3.75480188022433E-02,-3.31725570905837E-03,0,34.0579710144928,7.50960376044866E-02,-6.63451141811674E-03,0,62.1684190521455
43,2.42618073850679,0,0,0,0,27,3.75480188022433E-02,-3.31725570905837E-03,0,43.0724160619717,7.50960376044866E-02,-6.63451141811674E-03,0,63.003466048194
44,3.18344847865885,0,0,0,0,27,3.75480188022433E-02,4.87888176732208E-03,0,52.0841088586859,7.50960376044866E-02,9.75776353464416E-03,0,63.6572880394253
45,4.95678282784475,0,0,0,0,27,3.75480188022433E-02,4.87888176732208E-03,0,61.0892305758926,7.50960376044866E-02,9.75776353464416E-03,0,64.3168108327094
46,4.6108434299627,0,0,0,0,27,3.75480188022433E-02,4.87888176732208E-03,0,70.0943522930994,7.50960376044866E-02,9.75776353464416E-03,0,65.1009306187188
